opp_puntyds_punt,opp_conv3rddownatt_conv,int_ret_yds_td,opp_offydsperplay,fd_rush_pass_pen,fumbles_num_lost,opp_passyds,opp_intret_yds_td,opp_redzoneatt_scores,fgsuccesspercent,opp_kickoffretyds_ret,opp_puntpunts_yds,rush_att_yds_td,att_made_2ptconv,offenseydsperplay,pat_att_made,opp_ppg,opp_kickoffret_ret_yds_td,redzonesuccesspercent,opp_fgatt_made,fg_att_made,opp_rushatt_yds_td,successpercent2ptconv,convpercent4thdown,pen_num_yds,pass_att_comp_int_td,opp_passrating,rushing,opp_redzonesuccesspercent,convpercent3rddown,opp_offplays_yds,opp_rushyds_att,pass_rating,opp_conv2ptatt_made,timeofpossessionpergame,games_pts,firstdowns,opp_conv4thdownpercent,opp_pennum_yds,patsuccesspercent,opp_patatt_made,yardsperpuntreturn,opp_conv4thdownatt_conv,opp_firstdowns_total,opp_pryds_ret,opp_firstdowns_rush_pass_pen,opp_timeofposs_game,pass_yds,redzone_att_scores,opp_prret_yds_td,ppg,off_plays_yds,opp_conv3rddownpercent,opp_conv2ptsuccesspercent,att_conv_4thdown,punts_yds,team,opp_patsuccesspercent,opp_passatt_comp_int_td,opp_fgsuccesspercent,opp_games_pts,att_conv_3rddown,opp_fumblesnum_lost,pageUrl
40.85,210 - 81,13 - 203 - 0,5.28,171 - 193 - 27,16 - 5,3434,8 - 67 - 1,38 - 33,69.20%,18.57,82 - 3350,619 - 2802 - 43,0 - 0,6.64,82 - 81,25.5,81 - 1504 - 1,84.93%,14 - 11,26 - 18,485 - 1530 - 17,-,73.53%,127 - 1149,519 - 323 - 8 - 38,129.54,4.53,86.84%,46.73%,941 - 4964,3.15,160.31,Feb-00,29:02.9,13 - 627,391,25%,89 - 866,98.80%,41 - 41,4.65,24 - 6,256,5.09,85 - 128 - 43,30:57.1,4757,73 - 62,11 - 56 - 0,48.2,1138 - 7559,38.57%,0%,34 - 25,47 - 2040,Baylor,100%,456 - 249 - 13 - 24,78.60%,13 - 332,214 - 100,25 - 13,http://www.cfbstats.com/2014/team/51
43.71,225 - 78,22 - 284 - 5,5.24,148 - 173 - 17,20 - 9,3260,15 - 189 - 2,45 - 36,76.20%,20.58,84 - 3672,609 - 2994 - 39,Feb-00,6.53,71 - 68,26.8,36 - 741 - 1,90.14%,19 - 16,21 - 16,516 - 1996 - 24,0%,47.62%,92 - 801,451 - 310 - 15 - 27,116.64,4.92,80%,44.39%,1004 - 5256,3.87,154.97,3-Apr,31:27.4,14 - 556,338,42.86%,76 - 622,95.80%,42 - 41,9.86,28 - 12,258,9.06,90 - 148 - 20,28:32.6,3926,71 - 64,18 - 163 - 0,39.7,1060 - 6920,34.67%,75%,21 - 10,68 - 2845,Boise State,97.60%,488 - 280 - 22 - 18,84.20%,14 - 375,205 - 91,18 - 9,http://www.cfbstats.com/2014/team/66
40.34,186 - 72,9 - 86 - 0,5.13,157 - 73 - 18,3-Nov,2987,10 - 100 - 0,42 - 35,63.20%,18.34,79 - 3187,635 - 3311 - 31,Feb-00,5.69,43 - 35,21.3,47 - 862 - 0,83.78%,17 - 13,19 - 12,399 - 1228 - 14,0%,57.14%,58 - 498,243 - 135 - 10 - 13,133.06,5.21,83.33%,35.96%,822 - 4215,3.08,123.1,0 - 0,33:06.0,13 - 341,248,50%,75 - 593,81.40%,34 - 34,7.81,6-Dec,225,6.46,77 - 135 - 13,26:54.0,1681,37 - 31,28 - 181 - 0,26.2,878 - 4992,38.71%,-,21 - 12,66 - 2764,Boston College,100%,423 - 264 - 9 - 20,76.50%,13 - 277,178 - 64,5-Oct,http://www.cfbstats.com/2014/team/67
39.4,222 - 95,16 - 172 - 0,5.98,120 - 158 - 33,19 - 10,4080,13 - 132 - 0,67 - 52,79.30%,21.74,72 - 2837,556 - 2422 - 30,Mar-00,5.5,48 - 45,33.5,69 - 1500 - 0,83.02%,21 - 13,29 - 23,568 - 2830 - 37,0%,30.43%,110 - 872,547 - 317 - 13 - 17,126.91,4.36,77.61%,37.66%,1156 - 6910,4.98,119.35,0 - 0,26:12.3,14 - 420,311,43.48%,92 - 890,93.80%,62 - 58,10.19,23 - 10,366,7.17,149 - 192 - 25,33:47.7,3639,53 - 44,29 - 208 - 0,30,1103 - 6061,42.79%,-,23 - 7,82 - 3482,Bowling Green,93.50%,588 - 353 - 16 - 25,61.90%,14 - 469,231 - 87,27 - 17,http://www.cfbstats.com/2014/team/71
39.77,224 - 85,14 - 249 - 2,4.93,143 - 160 - 22,30 - 15,3506,12 - 61 - 0,50 - 42,85.70%,18.43,81 - 3221,567 - 2363 - 28,0 - 0,5.7,63 - 62,27.5,67 - 1235 - 0,88.14%,25 - 17,14 - 12,483 - 1584 - 19,-,65.22%,110 - 1053,483 - 289 - 12 - 32,121.49,4.17,84%,43.20%,1032 - 5090,3.28,139.73,1-Jan,27:54.1,13 - 482,325,60.71%,88 - 768,98.40%,43 - 41,7.47,28 - 17,282,9.33,87 - 164 - 31,32:05.8,3623,59 - 52,24 - 224 - 0,37.1,1050 - 5986,37.95%,100%,23 - 15,69 - 3106,BYU,95.30%,549 - 318 - 14 - 25,68%,13 - 358,206 - 89,22 - 12,http://www.cfbstats.com/2014/team/77
41.8,154 - 58,2 - 0 - 0,5.86,97 - 122 - 25,6-Dec,2448,12 - 147 - 1,43 - 37,42.90%,19.79,60 - 2508,443 - 1965 - 16,1-May,5.95,44 - 41,31.5,39 - 772 - 0,74%,8-Oct,14 - 6,451 - 1927 - 29,20%,52.17%,58 - 588,367 - 235 - 12 - 32,137.87,4.44,86.05%,45.73%,746 - 4375,4.27,151.6,Feb-00,32:52.0,11 - 355,244,71.43%,72 - 646,93.20%,45 - 41,7.42,21 - 15,202,3.56,95 - 94 - 13,27:08.0,2855,50 - 37,9 - 32 - 0,32.3,810 - 4820,37.66%,0%,23 - 12,50 - 2037,Buffalo,91.10%,295 - 149 - 2 - 17,80%,11 - 347,164 - 75,18 - 13,http://www.cfbstats.com/2014/team/86
41.79,224 - 89,9 - 100 - 1,6.27,126 - 139 - 31,13 - 6,3557,21 - 234 - 1,53 - 46,64.30%,17.69,76 - 3176,566 - 2553 - 22,0 - 0,5.19,48 - 46,32.4,48 - 849 - 0,74.55%,23 - 17,14 - 9,615 - 2827 - 24,-,47.06%,59 - 546,530 - 299 - 21 - 25,156.17,4.51,86.79%,37.45%,1018 - 6384,4.6,113.71,0 - 0,28:42.9,14 - 371,296,59.26%,109 - 905,95.80%,58 - 55,9.82,27 - 16,279,8.09,127 - 138 - 14,31:17.1,3132,55 - 41,23 - 186 - 1,26.5,1096 - 5685,39.73%,-,34 - 16,85 - 3432,Fresno State,94.80%,403 - 243 - 9 - 32,73.90%,14 - 454,243 - 91,22 - 11,http://www.cfbstats.com/2014/team/96
38.43,186 - 78,12 - 60 - 0,6.27,99 - 188 - 32,20 - 10,4406,10 - 126 - 0,62 - 51,64.70%,20.29,56 - 2152,440 - 1790 - 22,1-Apr,6.09,57 - 56,39.8,49 - 994 - 0,88.24%,19 - 13,17 - 11,436 - 1735 - 19,25%,67.86%,107 - 987,535 - 329 - 10 - 37,154.54,4.07,82.26%,46.07%,980 - 6141,3.98,145.77,Feb-00,29:57.9,12 - 459,319,74.07%,96 - 973,98.20%,60 - 60,7.61,27 - 20,332,11.43,95 - 203 - 34,30:02.1,4152,51 - 45,7 - 80 - 1,38.3,975 - 5942,41.94%,0%,28 - 19,56 - 2233,California,100%,544 - 356 - 12 - 42,68.40%,12 - 477,191 - 88,13 - 5,http://www.cfbstats.com/2014/team/107
44.83,209 - 83,11 - 231 - 3,5.17,144 - 142 - 18,22 - 10,3258,6 - 131 - 3,45 - 38,81.80%,21.53,77 - 3452,557 - 2724 - 26,2-Jun,6.13,48 - 47,28.1,30 - 646 - 1,94.12%,20 - 17,22 - 18,505 - 1923 - 19,33.33%,56.25%,104 - 979,435 - 298 - 6 - 24,126.81,4.89,84.44%,43.07%,1002 - 5181,3.81,148.81,2-Apr,29:09.9,13 - 435,304,68.18%,74 - 664,97.90%,41 - 40,9.05,22 - 15,295,4.8,111 - 151 - 33,30:50.1,3358,51 - 48,15 - 72 - 0,33.5,992 - 6082,39.71%,50%,16 - 9,70 - 2802,UCLA,97.60%,497 - 306 - 11 - 22,85%,13 - 365,202 - 87,5-Dec,http://www.cfbstats.com/2014/team/110
40.61,194 - 72,18 - 115 - 0,4.47,110 - 125 - 31,23 - 14,2525,15 - 180 - 0,42 - 30,72.40%,21.11,77 - 3127,526 - 1661 - 19,1-Mar,5.01,40 - 40,19.2,56 - 1182 - 0,80.36%,20 - 16,29 - 21,428 - 1356 - 10,33.33%,52%,76 - 711,416 - 233 - 15 - 23,107.76,3.16,71.43%,41.46%,869 - 3881,3.17,128.82,0 - 0,31:37.5,13 - 365,266,28.57%,114 - 1037,100%,29 - 27,8.75,21 - 6,225,6.65,97 - 103 - 25,28:22.5,3059,56 - 45,20 - 133 - 1,28.1,942 - 4720,37.11%,-,25 - 13,56 - 2131,UCF,93.10%,441 - 243 - 18 - 17,80%,13 - 249,205 - 85,22 - 10,http://www.cfbstats.com/2014/team/128
38.79,177 - 71,14 - 94 - 1,5.44,117 - 148 - 22,22 - 14,3023,13 - 153 - 0,47 - 38,72.70%,21.7,58 - 2250,504 - 2018 - 19,1-Feb,5.84,45 - 42,25.2,43 - 933 - 0,80.77%,22 - 15,8-Nov,426 - 1598 - 15,50%,43.75%,70 - 604,382 - 243 - 13 - 27,131,4,80.85%,43.83%,849 - 4621,3.75,149.54,2-Feb,33:24.8,13 - 350,287,50%,71 - 621,93.30%,38 - 36,4.17,20 - 10,248,13.17,87 - 138 - 23,26:35.2,3157,52 - 42,12 - 158 - 0,26.9,886 - 5175,40.11%,100%,16 - 7,57 - 2076,Central Michigan,94.70%,423 - 249 - 14 - 24,68.20%,13 - 327,162 - 71,19 - 8,http://www.cfbstats.com/2014/team/129
38.92,195 - 86,8 - 46 - 0,5.98,103 - 185 - 22,14 - 8,3320,14 - 142 - 1,52 - 38,80%,22.74,60 - 2335,454 - 2035 - 18,Feb-00,6.33,54 - 52,27.2,47 - 1069 - 0,90.20%,30 - 20,20 - 16,501 - 2388 - 18,0%,68.75%,59 - 542,491 - 294 - 14 - 35,134.69,4.48,73.08%,41.24%,955 - 5708,4.77,145.23,Feb-00,28:42.8,13 - 442,310,41.18%,77 - 746,96.30%,40 - 40,5.64,17 - 7,287,4.92,132 - 142 - 13,31:17.1,3947,51 - 46,13 - 64 - 0,34,945 - 5982,44.10%,0%,16 - 11,64 - 2481,Cincinnati,100%,454 - 276 - 8 - 22,66.70%,13 - 354,177 - 73,23 - 16,http://www.cfbstats.com/2014/team/140
43.62,197 - 54,12 - 213 - 2,4.03,105 - 145 - 17,14 - 6,2046,12 - 198 - 2,27 - 20,75%,19.9,105 - 4580,539 - 1904 - 20,0 - 0,5.36,48 - 46,16.7,41 - 816 - 1,73.08%,15 - 11,28 - 21,453 - 1344 - 11,-,35.71%,52 - 450,451 - 292 - 12 - 23,98.31,3.53,74.07%,41.70%,841 - 3390,2.97,139.66,Feb-00,31:23.3,13 - 401,267,33.33%,79 - 601,95.80%,24 - 22,5.69,15 - 5,185,6.44,86 - 81 - 18,28:36.7,3404,52 - 38,27 - 174 - 0,30.8,990 - 5308,27.41%,0%,14 - 5,78 - 3306,Clemson,91.70%,388 - 194 - 12 - 12,73.30%,13 - 217,223 - 93,24 - 12,http://www.cfbstats.com/2014/team/147
41.99,200 - 84,13 - 128 - 0,5.74,105 - 176 - 18,24 - 10,2915,7 - 64 - 0,50 - 43,60%,20.79,71 - 2981,435 - 2071 - 24,0 - 0,7.09,58 - 57,25.1,42 - 873 - 0,84%,20 - 13,20 - 12,529 - 2610 - 27,-,35.71%,72 - 713,447 - 286 - 7 - 34,116.19,4.76,86%,48.85%,962 - 5525,4.93,164.52,0 - 0,29:09.8,13 - 441,299,58.82%,59 - 560,98.30%,41 - 39,3.91,17 - 10,293,7,131 - 138 - 24,30:50.2,4181,50 - 42,25 - 175 - 0,33.9,882 - 6252,42%,-,14 - 5,51 - 2235,Colorado State,95.10%,433 - 238 - 13 - 14,65%,13 - 326,174 - 85,16 - 6,http://www.cfbstats.com/2014/team/156
43.52,175 - 70,3/28/2000,6.55,101 - 159 - 36,6-Dec,3074,15 - 280 - 2,56 - 50,76.20%,21.43,64 - 2785,451 - 1855 - 13,0 - 0,5.29,42 - 42,39,28 - 600 - 0,88.89%,19 - 18,21 - 16,437 - 2458 - 21,-,48.28%,86 - 822,545 - 348 - 15 - 29,149.93,4.11,89.29%,40.10%,845 - 5532,5.62,128.54,Apr-00,32:34.8,12 - 342,296,53.85%,86 - 819,100%,55 - 54,6.5,13 - 7,271,10.65,108 - 131 - 32,27:25.2,3415,45 - 40,23 - 245 - 1,28.5,996 - 5270,40%,0%,29 - 14,65 - 2869,Colorado,98.20%,408 - 244 - 3 - 35,94.70%,12 - 468,202 - 81,14 - 8,http://www.cfbstats.com/2014/team/157
38.74,187 - 74,8 - 174 - 1,5.22,69 - 87 - 22,19 - 16,2505,12 - 279 - 3,46 - 39,64.30%,15.49,66 - 2557,396 - 1283 - 8,1-Jan,4.5,22 - 19,29.8,37 - 573 - 0,58.33%,19 - 13,14 - 9,482 - 2038 - 18,100%,57.14%,74 - 708,340 - 185 - 12 - 12,126.67,3.24,84.78%,30.49%,871 - 4543,4.23,109.2,1-Jan,28:24.7,12 - 186,178,57.89%,85 - 828,86.40%,44 - 43,6.75,19 - 11,243,4.61,110 - 110 - 23,31:35.3,2032,24 - 14,23 - 106 - 0,15.5,736 - 3315,39.57%,100%,14 - 8,80 - 3078,Connecticut,97.70%,389 - 229 - 8 - 21,68.40%,12 - 358,164 - 50,16 - 7,http://www.cfbstats.com/2014/team/164
41.32,186 - 64,11 - 159 - 2,5.28,133 - 130 - 23,22 - 7,2688,8 - 89 - 0,51 - 45,90.50%,23.25,63 - 2603,492 - 2364 - 24,Jan-00,5.38,50 - 50,21.8,51 - 1186 - 0,87.50%,22 - 17,21 - 19,564 - 2508 - 19,0%,55.17%,64 - 503,471 - 268 - 8 - 23,115.19,4.8,88.24%,41.79%,985 - 5196,4.45,119.8,Apr-00,29:06.8,13 - 421,286,29.03%,89 - 785,100%,30 - 28,13.54,31 - 9,285,2.06,152 - 118 - 15,30:48.6,2814,56 - 49,16 - 33 - 0,32.4,963 - 5178,34.41%,0%,29 - 16,59 - 2537,Duke,93.30%,421 - 235 - 11 - 14,77.30%,13 - 283,201 - 84,22 - 10,http://www.cfbstats.com/2014/team/193
40.18,202 - 69,14 - 132 - 2,5.1,107 - 238 - 33,22 - 12,3322,11 - 97 - 1,39 - 33,58.30%,22.46,79 - 3174,433 - 2094 - 28,Feb-00,6.48,59 - 58,25.8,56 - 1258 - 0,83.78%,24 - 17,24 - 14,437 - 1453 - 16,0%,45.83%,109 - 1004,637 - 402 - 11 - 31,120.21,4.84,84.62%,46.91%,937 - 4775,3.32,139.48,1-Mar,29:42.8,13 - 466,378,63.64%,92 - 835,98.30%,37 - 37,4.62,22 - 14,262,7.5,79 - 149 - 34,30:17.1,4835,74 - 62,22 - 165 - 1,35.8,1070 - 6929,34.16%,33.33%,24 - 11,51 - 2170,East Carolina,100%,500 - 284 - 14 - 20,70.80%,13 - 336,194 - 91,15 - 5,http://www.cfbstats.com/2014/team/196
39.37,186 - 88,6/3/2000,6.75,98 - 79 - 12,29 - 19,3298,11 - 106 - 1,59 - 45,66.70%,25.31,49 - 1929,459 - 1654 - 9,Jan-00,4.46,22 - 20,40.9,16 - 405 - 1,70.37%,20 - 13,8-Dec,513 - 2687 - 34,0%,41.67%,69 - 598,320 - 167 - 11 - 13,160.72,3.6,76.27%,35.20%,887 - 5985,5.24,106.52,0 - 0,26:31.3,12 - 182,189,50%,79 - 695,90.90%,65 - 62,7,24 - 12,279,13.17,130 - 132 - 17,33:28.7,1821,27 - 19,24 - 316 - 1,15.2,779 - 3475,47.31%,-,5-Dec,84 - 3457,Eastern Michigan,95.40%,374 - 247 - 6 - 27,65%,12 - 491,179 - 63,14 - 6,http://www.cfbstats.com/2014/team/204
42.4,174 - 81,8 - 111 - 2,6.23,100 - 108 - 12,19 - 13,2864,5 - 46 - 0,51 - 42,70%,22.64,55 - 2332,443 - 1963 - 14,0 - 0,5.39,35 - 34,34.4,36 - 815 - 0,75%,16 - 14,20 - 14,483 - 2665 - 34,-,61.11%,51 - 474,365 - 206 - 5 - 18,129.2,4.43,82.35%,38.46%,887 - 5529,5.52,125.08,0 - 0,29:20.6,12 - 288,220,62.50%,69 - 589,97.10%,53 - 53,14.43,16 - 10,274,8.88,133 - 124 - 17,30:00.0,2394,44 - 33,25 - 222 - 0,24,808 - 4357,46.55%,-,18 - 11,69 - 2931,Florida Atlantic,100%,404 - 238 - 8 - 18,87.50%,12 - 413,182 - 70,7-Dec,http://www.cfbstats.com/2014/team/229
42.57,170 - 61,14 - 325 - 5,5.38,100 - 82 - 14,24 - 12,2440,10 - 104 - 2,39 - 27,71.40%,20.08,65 - 2767,488 - 1502 - 11,1-Mar,4.33,30 - 29,24.8,48 - 964 - 0,81.82%,17 - 12,21 - 15,474 - 1925 - 18,33.33%,45.45%,84 - 673,324 - 171 - 10 - 15,122.51,3.08,69.23%,31.89%,812 - 4365,4.06,114.15,0 - 0,30:29.7,12 - 276,196,52.94%,68 - 583,96.70%,37 - 36,18.19,17 - 9,216,7.3,101 - 97 - 18,29:30.3,2016,33 - 27,33 - 241 - 0,23,812 - 3518,35.88%,-,5-Nov,82 - 3211,Florida International,97.30%,338 - 181 - 14 - 17,70.60%,12 - 298,185 - 59,25 - 19,http://www.cfbstats.com/2014/team/231
